[RegionCode],[RegionName],[Endpoint]
us-east-1,US East (N. Virginia),http://dynamodb.us-east-1.amazonaws.com/ping
us-east-2,US East (Ohio),http://dynamodb.us-east-2.amazonaws.com/ping
us-west-1,US West (N. California),http://dynamodb.us-west-1.amazonaws.com/ping
us-west-2,US West (Oregon),http://dynamodb.us-west-2.amazonaws.com/ping
us-gov-east-1,AWS GovCloud (US-East),http://dynamodb.us-gov-east-1.amazonaws.com/ping
us-gov-west-1,AWS GovCloud (US),http://dynamodb.us-gov-west-1.amazonaws.com/ping
ca-central-1,Canada (Central),http://dynamodb.ca-central-1.amazonaws.com/ping
eu-central-1,EU (Frankfurt),http://dynamodb.eu-central-1.amazonaws.com/ping
eu-west-1,EU (Ireland),http://dynamodb.eu-west-1.amazonaws.com/ping
eu-west-2,EU (London),http://dynamodb.eu-west-2.amazonaws.com/ping
eu-west-3,EU (Paris),http://dynamodb.eu-west-3.amazonaws.com/ping
eu-north-1,EU (Stockholm),http://dynamodb.eu-north-1.amazonaws.com/ping
eu-south-1,EU (Milan),http://dynamodb.eu-south-1.amazonaws.com/ping
af-south-1,Africa (Cape Town),http://dynamodb.af-south-1.amazonaws.com/ping
ap-east-1,Asia Pacific (Hong Kong),http://dynamodb.ap-east-1.amazonaws.com/ping
ap-northeast-1,Asia Pacific (Tokyo),http://dynamodb.ap-northeast-1.amazonaws.com/ping
ap-northeast-2,Asia Pacific (Seoul),http://dynamodb.ap-northeast-2.amazonaws.com/ping
ap-northeast-3,Asia Pacific (Osaka-Local),http://dynamodb.ap-northeast-3.amazonaws.com/ping
ap-southeast-1,Asia Pacific (Singapore),http://dynamodb.ap-southeast-1.amazonaws.com/ping
ap-southeast-2,Asia Pacific (Sydney),http://dynamodb.ap-southeast-2.amazonaws.com/ping
ap-south-1,Asia Pacific (Mumbai),http://dynamodb.ap-south-1.amazonaws.com/ping
cn-north-1,China (Beijing),http://dynamodb.cn-north-1.amazonaws.com.cn/ping
cn-northwest-1,China (Ningxia),http://dynamodb.cn-northwest-1.amazonaws.com.cn/ping
me-south-1,Middle East (Bahrain),http://dynamodb.me-south-1.amazonaws.com/ping
sa-east-1,South America (São Paulo),http://dynamodb.sa-east-1.amazonaws.com/ping
